T_1, T_p, n_threads
0.302481, 0.0619031, 5
0.301855, 0.0741693, 4
0.302834, 0.0982722, 3
0.303134, 0.146471, 2
0.303062, 0.292846, 1
0.300882, 0.0491631, 6
0.301347, 0.0697851, 7
0.30123, 0.0375571, 8
0.301126, 0.0590431, 9
0.301176, 0.0526066, 10
0.300808, 0.059232, 11
0.301393, 0.0530721, 12
